iter	Passed	Remaining
771	1028	303
772	1029	302
773	1030	301
774	1031	299
775	1033	298
776	1034	296
777	1035	295
778	1036	294
779	1037	292
780	1039	291
781	1040	289
782	1041	288
783	1042	287
784	1043	285
785	1044	284
786	1045	283
787	1047	281
788	1048	280
789	1049	278
790	1050	277
791	1051	276
792	1052	274
793	1053	273
794	1054	271
795	1055	270
796	1057	269
797	1058	267
798	1059	266
799	1060	265
800	1061	263
801	1062	262
802	1063	260
803	1064	259
804	1065	258
805	1066	256
806	1067	255
807	1069	254
808	1070	252
809	1071	251
810	1072	249
811	1073	248
812	1074	247
813	1075	245
814	1076	244
815	1078	243
816	1079	241
817	1080	240
818	1081	239
819	1083	237
820	1084	236
821	1085	235
822	1087	233
823	1088	232
824	1089	231
825	1090	229
826	1091	228
827	1092	227
828	1093	225
829	1094	224
830	1096	222
831	1097	221
832	1098	220
833	1099	218
834	1101	217
835	1102	216
836	1103	214
837	1104	213
838	1105	212
839	1106	210
840	1107	209
841	1108	208
842	1109	206
843	1111	205
844	1112	203
845	1113	202
846	1114	201
847	1115	199
848	1116	198
849	1118	197
850	1119	195
851	1120	194
852	1121	193
853	1122	191
854	1123	190
855	1124	189
856	1126	187
857	1127	186
858	1128	185
859	1129	183
860	1131	182
861	1132	181
862	1133	179
863	1134	178
864	1136	177
865	1137	175
866	1138	174
867	1139	173
868	1140	171
869	1142	170
870	1143	169
871	1144	168
872	1146	166
873	1147	165
874	1148	164
875	1149	162
876	1150	161
877	1151	160
878	1152	158
879	1154	157
880	1155	156
881	1156	154
882	1157	153
883	1159	152
884	1160	150
885	1161	149
886	1162	148
887	1163	146
888	1164	145
889	1165	144
890	1166	142
891	1167	141
892	1169	140
893	1170	138
894	1171	137
895	1173	136
896	1174	134
897	1175	133
898	1176	132
899	1177	130
900	1178	129
901	1179	128
902	1180	126
903	1182	125
904	1183	124
905	1184	122
906	1185	121
907	1187	120
908	1188	118
909	1189	117
910	1190	116
911	1191	114
912	1192	113
913	1193	112
914	1194	111
915	1196	109
916	1197	108
917	1198	107
918	1200	105
919	1201	104
920	1202	103
921	1204	101
922	1205	100
923	1206	99
924	1207	97
925	1208	96
926	1209	95
927	1210	93
928	1212	92
929	1213	91
930	1214	90
931	1215	88
932	1216	87
933	1218	86
934	1219	84
935	1220	83
936	1221	82
937	1222	80
938	1223	79
939	1224	78
940	1226	76
941	1227	75
942	1228	74
943	1229	72
944	1230	71
945	1231	70
946	1232	69
947	1234	67
948	1235	66
949	1236	65
950	1237	63
951	1238	62
952	1239	61
953	1240	59
954	1242	58
955	1243	57
956	1244	55
957	1245	54
958	1246	53
959	1247	51
960	1248	50
961	1250	49
962	1251	48
963	1252	46
964	1253	45
965	1254	44
966	1255	42
967	1256	41
968	1257	40
969	1258	38
970	1259	37
971	1261	36
972	1262	35
973	1263	33
974	1264	32
975	1265	31
976	1266	29
977	1267	28
978	1268	27
979	1269	25
980	1271	24
981	1272	23
982	1274	22
983	1275	20
984	1276	19
985	1277	18
986	1278	16
987	1279	15
988	1280	14
989	1282	12
990	1283	11
991	1284	10
992	1285	9
993	1286	7
994	1287	6
995	1288	5
996	1290	3
997	1291	2
998	1292	1
999	1293	0
